maxima  angle(degree)
frequency used were 1.80001532 MHz, 1.84989124 MHz, 1.90003519 MHz, 1.95385781 MHz,
1.99891536 MHz, 2.05212394 MHz, 2.10002201MHz

-1  	-0.045
1	    0.04
-2  	-0.0725
2	    0.0725

-1      -0.045
1       0.04575
-2      -0.085
2       0.0825

-1  	-0.0475
1	    0.04
-2  	-0.0875
2	    0.0875

-1      -0.045
1       0.0475
-2      -0.0925
2       0.095

1	    -0.0475
-1	    0.055
2	    -0.095
-2  	0.095

-1      -0.045
1       0.05
-2      -0.1025
2       0.1

-1	    -0.0425
1   	0.04
-2	    -0.105
2   	0.105
